set Vertices :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 ;
   3 4  7
  3 11  4
   3 2  6
   4 5  7
  4 12  8
   4 3  7
   5 6  7
  5 13  2
   5 4  7
   6 7  6
  6 14  6
   6 5  7
   7 8  3
  7 15  1
   7 6  6
  8 16  2
   8 7  3
  9 10  2
  9 17  1
   9 1  6
 10 11  8
 10 18  5
  10 9  2
  10 2  4
 11 12  1
 11 19  2
 11 10  8
  11 3  4
 12 13  8
 12 20  6
 12 11  1
  12 4  8
 13 14  8
 13 21  4
 13 12  8
  13 5  2
 14 15  7
 14 22  8
 14 13  8
  14 6  6
 15 16  3
 15 23  6
 15 14  7
  15 7  1
  16 8  2
 16 24  2
 16 15  3
 17 18  2
 17 25  7
  17 9  1
 18 19  8
 18 26  6
 18 17  2
 18 10  5
 19 20  4
 19 27  7
 19 18  8
 19 11  2
 20 21  3
 20 28  8
 20 19  4
 20 12  6
 21 22  1
 21 29  5
 21 20  3
 21 13  4
 22 23  6
 22 30  7
 22 21  1
 22 14  8
 23 24  7
 23 31  3
 23 22  6
 23 15  6
 24 16  2
 24 32  1
 24 23  7
 25 26  5
 25 33  7
 25 17  7
 26 27  5
 26 34  6
 26 25  5
 26 18  6
 27 28  6
 27 35  5
 27 26  5
 27 19  7
 28 29  1
 28 36  1
 28 27  6
 28 20  8
 29 30  7
 29 37  3
 29 28  1
 29 21  5
 30 31  3
 30 38  4
 30 29  7
 30 22  7
 31 32  5
 31 39  3
 31 30  3
 31 23  3
 32 24  1
 32 40  6
 32 31  5
 33 34  7
 33 41  5
 33 25  7
 34 35  1
 34 42  8
 34 33  7
 34 26  6
 35 36  7
 35 43  6
 35 34  1
 35 27  5
 36 37  6
 36 44  2
 36 35  7
 36 28  1
 37 38  5
 37 45  7
 37 36  6
 37 29  3
 38 39  2
 38 46  7
 38 37  5
 38 30  4
 39 40  7
 39 47  3
 39 38  2
 39 31  3
 40 32  6
 40 48  5
 40 39  7
 41 42  2
 41 49  1
 41 33  5
 42 43  5
 42 50  4
 42 41  2
 42 34  8
 43 44  7
 43 51  1
 43 42  5
 43 35  6
 44 45  6
 44 52  2
 44 43  7
 44 36  2
 45 46  1
 45 53  4
 45 44  6
 45 37  7
 46 47  3
 46 54  3
 46 45  1
 46 38  7
 47 48  4
 47 55  5
 47 46  3
 47 39  3
 48 40  5
 48 56  3
 48 47  4
 49 50  7
 49 57  7
 49 41  1
 50 51  6
 50 58  8
 50 49  7
 50 42  4
 51 52  1
 51 59  4
 51 50  6
 51 43  1
 52 53  4
 52 60  4
 52 51  1
 52 44  2
 53 54  8
 53 61  8
 53 52  4
 53 45  4
 54 55  2
 54 62  7
 54 53  8
 54 46  3
 55 56  1
 55 63  3
 55 54  2
 55 47  5
 56 48  3
 56 64  6
 56 55  1
 57 58  7
 57 49  7
 58 59  6
 58 50  8
 58 57  7
 59 60  5
 59 51  4
 59 58  6
 60 61  3
 60 52  4
 60 59  5
 61 62  2
 61 53  8
 61 60  3
 62 63  1
 62 54  7
 62 61  2
 63 64  3
 63 55  3
 63 62  1
 64 56  6
 64 63  3
;
