set Vertices :=  1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 ;
  7 15  8
   7 6  1
  8 16  8
   8 7  4
  9 10  4
  9 17  5
   9 1  1
 10 11  3
 10 18  3
  10 9  4
  10 2  4
 11 12  5
 11 19  1
 11 10  3
  11 3  7
 12 13  2
 12 20  1
 12 11  5
  12 4  4
 13 14  8
 13 21  3
 13 12  2
  13 5  6
 14 15  6
 14 22  7
 14 13  8
  14 6  8
 15 16  3
 15 23  3
 15 14  6
  15 7  8
  16 8  8
 16 24  5
 16 15  3
 17 18  5
 17 25  7
  17 9  5
 18 19  5
 18 26  4
 18 17  5
 18 10  3
 19 20  8
 19 27  5
 19 18  5
 19 11  1
 20 21  6
 20 28  2
 20 19  8
 20 12  1
 21 22  7
 21 29  3
 21 20  6
 21 13  3
 22 23  7
 22 30  4
 22 21  7
 22 14  7
 23 24  3
 23 31  6
 23 22  7
 23 15  3
 24 16  5
 24 32  8
 24 23  3
 25 26  6
 25 33  7
 25 17  7
 26 27  1
 26 34  8
 26 25  6
 26 18  4
 27 28  3
 27 35  6
 27 26  1
 27 19  5
 28 29  6
 28 36  1
 28 27  3
 28 20  2
 29 30  1
 29 37  3
 29 28  6
 29 21  3
 30 31  5
 30 38  2
 30 29  1
 30 22  4
 31 32  6
 31 39  4
 31 30  5
 31 23  6
 32 24  8
 32 40  8
 32 31  6
 33 34  8
 33 41  5
 33 25  7
 34 35  8
 34 42  3
 34 33  8
 34 26  8
 35 36  1
 35 43  4
 35 34  8
 35 27  6
 36 37  5
 36 44  6
 36 35  1
 36 28  1
 37 38  1
 37 45  3
 37 36  5
 37 29  3
 38 39  6
 38 46  5
 38 37  1
 38 30  2
 39 40  5
 39 47  7
 39 38  6
 39 31  4
 40 32  8
 40 48  3
 40 39  5
 41 42  2
 41 49  2
 41 33  5
 42 43  6
 42 50  5
 42 41  2
 42 34  3
 43 44  7
 43 51  1
 43 42  6
 43 35  4
 44 45  1
 44 52  5
 44 43  7
 44 36  6
 45 46  2
 45 53  1
 45 44  1
 45 37  3
 46 47  6
 46 54  2
 46 45  2
 46 38  5
 47 48  3
 47 55  7
 47 46  6
 47 39  7
 48 40  3
 48 56  7
 48 47  3
 49 50  2
 49 57  4
 49 41  2
 50 51  2
 50 58  2
 50 49  2
 50 42  5
 51 52  8
 51 59  8
 51 50  2
 51 43  1
 52 53  4
 52 60  7
 52 51  8
 52 44  5
 53 54  1
 53 61  2
 53 52  4
 53 45  1
 54 55  8
 54 62  3
 54 53  1
 54 46  2
 55 56  2
 55 63  3
 55 54  8
 55 47  7
 56 48  7
 56 64  6
 56 55  2
 57 58  2
 57 49  4
 58 59  5
 58 50  2
 58 57  2
 59 60  1
 59 51  8
 59 58  5
 60 61  5
 60 52  7
 60 59  1
 61 62  6
 61 53  2
 61 60  5
 62 63  4
 62 54  3
 62 61  6
 63 64  8
 63 55  3
 63 62  4
 64 56  6
 64 63  8
;
